amplicon,sample_name,sample_title,sra_title,block,unique_id,drought,inoculum,fire_freq,species,sra_accession,sra_bioproject,filename_r1,filename_r2,wilting_scale,bud_number,leaf_number,leaf_length,height,nodule_num,shoot_dm,final_root_dm,seqtab_rows,inoculum_site,inoculum_burn_freq,mean_NO3,mean_NH4,mean_P,mean_K,mean_SO4_S,mean_B,mean_OM,mean_pH,mean_EC,mean_Zn,mean_Mn,mean_Cu,mean_Fe,mean_Ca,mean_Mg,mean_Na,mean_TKN,mean_C_N_ratio,mean_Sand,mean_Silt,mean_Clay,host,other_frompreviouscolumn
16S,R-216,R-216_16S,16S amplicons from Snowbrush sample R-216,8,Q216,ND,0Burn_W2,0,Snowbrush,SRR27554171,PRJNA1064977,R-216_S8_L001_R1_001.fastq.gz,R-216_S8_L001_R2_001.fastq.gz,1,0,23,3,4.5,7,0.7712,1.971,R-216,2,0,1.33333333333333,8.1,7.66666666666667,92.3333333333333,6,0.043333333333333,6.40666666666667,6.16666666666667,0.086666666666667,0.266666666666667,16,0.433333333333333,29,1.83333333333333,0.333333333333333,0.036666666666667,0.166333333333333,26.2156666666667,80.8,18.8,0.4,Ceanothus velutinus,NA
16S,R-217,R-217_16S,16S amplicons from GrandFir sample R-217,8,Q217,D,1Burn_W4,1,GrandFir,SRR27554170,PRJNA1064977,R-217_S153_L001_R1_001.fastq.gz,R-217_S153_L001_R2_001.fastq.gz,1,1,42,1.8,7.5,NA,0.1829,0.2451,R-217,4,1,4.16666666666667,10.4333333333333,8.33333333333333,72.3333333333333,9.66666666666667,0.05,5.97666666666667,6,0.033333333333333,0.333333333333333,12.2,0.733333333333333,20.6666666666667,1.5,0.333333333333333,0.056666666666667,0.103,17.1983333333333,88.8,10.8,0.4,Abies grandis,NA
16S,R-218,R-218_16S,16S amplicons from GrandFir sample R-218,8,Q218,D,3Burn_W5,3,GrandFir,SRR27554169,PRJNA1064977,R-218_S165_L001_R1_001.fastq.gz,R-218_S165_L001_R2_001.fastq.gz,1,8,34,3.2,8.4,NA,0.3092,0.5895,R-218,5,3,14.5333333333333,7.16666666666667,7,82,4.33333333333333,0.153333333333333,7.07333333333333,6.3,0.113333333333333,0.866666666666667,15.5666666666667,0.833333333333333,23,4.96666666666667,0.566666666666667,0.05,0.239333333333333,17.4663333333333,86.8,10.8,2.4,Abies grandis,NA
16S,R-219,R-219_16S,16S amplicons from GrandFir sample R-219,8,Q219,ND,1Burn_W3,1,GrandFir,SRR27554168,PRJNA1064977,R-219_S177_L001_R1_001.fastq.gz,R-219_S177_L001_R2_001.fastq.gz,1,1,6,0.8,5.3,NA,0.0723,0.1012,R-219,3,1,1.7,4.96666666666667,7.33333333333333,61.6666666666667,11.3333333333333,0.07,5.18333333333333,6.36666666666667,0.416666666666667,0.1,10.1,0.666666666666667,15.3333333333333,2.03333333333333,0.3,0.04,0.099,27.1886666666667,82.8,16.8,0.4,Abies grandis,NA
16S,R-220,R-220_16S,16S amplicons from Snowbrush sample R-220,8,Q220,ND,3Burn_W6,3,Snowbrush,SRR27554167,PRJNA1064977,R-220_S20_L001_R1_001.fastq.gz,R-220_S20_L001_R2_001.fastq.gz,1,0,11,1.3,4,38,0.1798,0.4911,R-220,6,3,8.53333333333333,6.2,7.66666666666667,59.3333333333333,4.66666666666667,0.103333333333333,5.67,5.73333333333333,0.053333333333333,0.733333333333333,10.2333333333333,0.766666666666667,23,2.86666666666667,0.4,0.046666666666667,0.156666666666667,21.452,90.8,8.8,0.4,Ceanothus velutinus,NA
16S,R-221,R-221_16S,16S amplicons from Snowbrush sample R-221,8,Q221,D,3Burn_W5,3,Snowbrush,SRR27554166,PRJNA1064977,R-221_S32_L001_R1_001.fastq.gz,R-221_S32_L001_R2_001.fastq.gz,1,0,18,2.2,5,15,0.2367,0.4695,R-221,5,3,14.5333333333333,7.16666666666667,7,82,4.33333333333333,0.153333333333333,7.07333333333333,6.3,0.113333333333333,0.866666666666667,15.5666666666667,0.833333333333333,23,4.96666666666667,0.566666666666667,0.05,0.239333333333333,17.4663333333333,86.8,10.8,2.4,Ceanothus velutinus,NA
16S,R-222,R-222_16S,16S amplicons from GrandFir sample R-222,8,Q222,D,Sterile,NA,GrandFir,SRR27554165,PRJNA1064977,R-222_S189_L001_R1_001.fastq.gz,R-222_S189_L001_R2_001.fastq.gz,1,4,32,1.9,5.6,NA,0.1349,0.2872,R-222,Sterile,NA,2.45,19.1,6.16666666666667,52.8333333333333,8.5,0.04,4.825,5.73333333333333,0.11,0.25,63.2833333333333,0.533333333333333,14.8333333333333,1.55,0.3,0.07,0.110333333333333,25.6353333333333,88.8,10.8,0.4,Abies grandis,NA
16S,R-223,R-223_16S,16S amplicons from GrandFir sample R-223,8,Q223,ND,1Burn_W4,1,GrandFir,SRR27554163,PRJNA1064977,R-223_S106_L001_R1_001.fastq.gz,R-223_S106_L001_R2_001.fastq.gz,1,5,35,2.7,6.3,NA,0.2536,0.6848,R-223,4,1,4.16666666666667,10.4333333333333,8.33333333333333,72.3333333333333,9.66666666666667,0.05,5.97666666666667,6,0.033333333333333,0.333333333333333,12.2,0.733333333333333,20.6666666666667,1.5,0.333333333333333,0.056666666666667,0.103,17.1983333333333,88.8,10.8,0.4,Abies grandis,NA
16S,R-224,R-224_16S,16S amplicons from GrandFir sample R-224,8,Q224,ND,Sterile,NA,GrandFir,SRR27554162,PRJNA1064977,R-224_S118_L001_R1_001.fastq.gz,R-224_S118_L001_R2_001.fastq.gz,1,6,37,1.9,5.4,NA,0.1596,0.2996,R-224,Sterile,NA,2.45,19.1,6.16666666666667,52.8333333333333,8.5,0.04,4.825,5.73333333333333,0.11,0.25,63.2833333333333,0.533333333333333,14.8333333333333,1.55,0.3,0.07,0.110333333333333,25.6353333333333,88.8,10.8,0.4,Abies grandis,NA
16S,R-281,R-281_16S,16S amplicons from Snowbrush sample R-281,11,Q281,ND,3Burn_W5,3,Snowbrush,SRR27554161,PRJNA1064977,R-281_S56_L001_R1_001.fastq.gz,R-281_S56_L001_R2_001.fastq.gz,1,0,20,3,4.9,13,0.6449,1.4487,R-281,5,3,14.5333333333333,7.16666666666667,7,82,4.33333333333333,0.153333333333333,7.07333333333333,6.3,0.113333333333333,0.866666666666667,15.5666666666667,0.833333333333333,23,4.96666666666667,0.566666666666667,0.05,0.239333333333333,17.4663333333333,86.8,10.8,2.4,Ceanothus velutinus,NA
16S,R-282,R-282_16S,16S amplicons from GrandFir sample R-282,11,Q282,ND,1Burn_W3,1,GrandFir,SRR27554160,PRJNA1064977,R-282_S130_L001_R1_001.fastq.gz,R-282_S130_L001_R2_001.fastq.gz,1,1,3,0.8,4,NA,0.0423,0.1546,R-282,3,1,1.7,4.96666666666667,7.33333333333333,61.6666666666667,11.3333333333333,0.07,5.18333333333333,6.36666666666667,0.416666666666667,0.1,10.1,0.666666666666667,15.3333333333333,2.03333333333333,0.3,0.04,0.099,27.1886666666667,82.8,16.8,0.4,Abies grandis,NA
16S,R-283,R-283_16S,16S amplicons from Snowbrush sample R-283,11,Q283,ND,0Burn_W1,0,Snowbrush,SRR27554159,PRJNA1064977,R-283_S68_L001_R1_001.fastq.gz,R-283_S68_L001_R2_001.fastq.gz,1,0,22,2.6,6.5,1,0.4625,1.0323,R-283,1,0,1.36666666666667,10.0666666666667,10,108,12,0.036666666666667,7.89333333333333,5.96666666666667,0.096666666666667,0.733333333333333,26.3,0.533333333333333,58,1.66666666666667,0.4,0.043333333333333,0.179,26.3323333333333,80.8,18.8,0.4,Ceanothus velutinus,NA
16S,R-284,R-284_16S,16S amplicons from Snowbrush sample R-284,11,Q284,D,3Burn_W5,3,Snowbrush,SRR27554158,PRJNA1064977,R-284_S80_L001_R1_001.fastq.gz,R-284_S80_L001_R2_001.fastq.gz,6,0,26,2.2,5.5,0,0.5958,0.6693,R-284,5,3,14.5333333333333,7.16666666666667,7,82,4.33333333333333,0.153333333333333,7.07333333333333,6.3,0.113333333333333,0.866666666666667,15.5666666666667,0.833333333333333,23,4.96666666666667,0.566666666666667,0.05,0.239333333333333,17.4663333333333,86.8,10.8,2.4,Ceanothus velutinus,NA
16S,R-285,R-285_16S,16S amplicons from GrandFir sample R-285,11,Q285,D,3Burn_W5,3,GrandFir,SRR27554157,PRJNA1064977,R-285_S142_L001_R1_001.fastq.gz,R-285_S142_L001_R2_001.fastq.gz,1,2,22,2.1,4,NA,0.1187,0.4256,R-285,5,3,14.5333333333333,7.16666666666667,7,82,4.33333333333333,0.153333333333333,7.07333333333333,6.3,0.113333333333333,0.866666666666667,15.5666666666667,0.833333333333333,23,4.96666666666667,0.566666666666667,0.05,0.239333333333333,17.4663333333333,86.8,10.8,2.4,Abies grandis,NA
16S,R-286,R-286_16S,16S amplicons from GrandFir sample R-286,11,Q286,D,Sterile,NA,GrandFir,SRR27554156,PRJNA1064977,R-286_S154_L001_R1_001.fastq.gz,R-286_S154_L001_R2_001.fastq.gz,1,1,21,1,4.5,NA,0.0536,0.1376,R-286,Sterile,NA,2.45,19.1,6.16666666666667,52.8333333333333,8.5,0.04,4.825,5.73333333333333,0.11,0.25,63.2833333333333,0.533333333333333,14.8333333333333,1.55,0.3,0.07,0.110333333333333,25.6353333333333,88.8,10.8,0.4,Abies grandis,NA
16S,R-287,R-287_16S,16S amplicons from GrandFir sample R-287,11,Q287,D,3Burn_W6,3,GrandFir,SRR27554155,PRJNA1064977,R-287_S166_L001_R1_001.fastq.gz,R-287_S166_L001_R2_001.fastq.gz,5,1,3,0.9,4.5,NA,0.03,NA,R-287,6,3,8.53333333333333,6.2,7.66666666666667,59.3333333333333,4.66666666666667,0.103333333333333,5.67,5.73333333333333,0.053333333333333,0.733333333333333,10.2333333333333,0.766666666666667,23,2.86666666666667,0.4,0.046666666666667,0.156666666666667,21.452,90.8,8.8,0.4,Abies grandis,NA
16S,R-288,R-288_16S,16S amplicons from GrandFir sample R-288,11,Q288,ND,3Burn_W6,3,GrandFir,SRR27554154,PRJNA1064977,R-288_S178_L001_R1_001.fastq.gz,R-288_S178_L001_R2_001.fastq.gz,1,3,21,1.6,5.3,NA,0.0782,0.2193,R-288,6,3,8.53333333333333,6.2,7.66666666666667,59.3333333333333,4.66666666666667,0.103333333333333,5.67,5.73333333333333,0.053333333333333,0.733333333333333,10.2333333333333,0.766666666666667,23,2.86666666666667,0.4,0.046666666666667,0.156666666666667,21.452,90.8,8.8,0.4,Abies grandis,NA
16S,R-289,R-289_16S,16S amplicons from GrandFir sample R-289,11,Q289,ND,Sterile,NA,GrandFir,SRR27554152,PRJNA1064977,R-289_S190_L001_R1_001.fastq.gz,R-289_S190_L001_R2_001.fastq.gz,1,3,18,1.2,4.9,NA,0.0526,NA,R-289,Sterile,NA,2.45,19.1,6.16666666666667,52.8333333333333,8.5,0.04,4.825,5.73333333333333,0.11,0.25,63.2833333333333,0.533333333333333,14.8333333333333,1.55,0.3,0.07,0.110333333333333,25.6353333333333,88.8,10.8,0.4,Abies grandis,NA
16S,R-290,R-290_16S,16S amplicons from GrandFir sample R-290,11,Q290,D,0Burn_W1,0,GrandFir,SRR27554151,PRJNA1064977,R-290_S107_L001_R1_001.fastq.gz,R-290_S107_L001_R2_001.fastq.gz,1,3,12,0.4,7.7,NA,0.0871,0.2178,R-290,1,0,1.36666666666667,10.0666666666667,10,108,12,0.036666666666667,7.89333333333333,5.96666666666667,0.096666666666667,0.733333333333333,26.3,0.533333333333333,58,1.66666666666667,0.4,0.043333333333333,0.179,26.3323333333333,80.8,18.8,0.4,Abies grandis,NA
16S,R-291,R-291_16S,16S amplicons from GrandFir sample R-291,11,Q291,ND,1Burn_W4,1,GrandFir,SRR27554150,PRJNA1064977,R-291_S119_L001_R1_001.fastq.gz,R-291_S119_L001_R2_001.fastq.gz,1,7,59,3.2,6,NA,0.3612,0.8359,R-291,4,1,4.16666666666667,10.4333333333333,8.33333333333333,72.3333333333333,9.66666666666667,0.05,5.97666666666667,6,0.033333333333333,0.333333333333333,12.2,0.733333333333333,20.6666666666667,1.5,0.333333333333333,0.056666666666667,0.103,17.1983333333333,88.8,10.8,0.4,Abies grandis,NA
16S,R-292,R-292_16S,16S amplicons from Snowbrush sample R-292,11,Q292,D,0Burn_W1,0,Snowbrush,SRR27554149,PRJNA1064977,R-292_S9_L001_R1_001.fastq.gz,R-292_S9_L001_R2_001.fastq.gz,1,0,5,1.2,3.6,0,0.0892,0.1842,R-292,1,0,1.36666666666667,10.0666666666667,10,108,12,0.036666666666667,7.89333333333333,5.96666666666667,0.096666666666667,0.733333333333333,26.3,0.533333333333333,58,1.66666666666667,0.4,0.043333333333333,0.179,26.3323333333333,80.8,18.8,0.4,Ceanothus velutinus,NA
16S,R-293,R-293_16S,16S amplicons from Snowbrush sample R-293,11,Q293,D,Sterile,NA,Snowbrush,SRR27554148,PRJNA1064977,R-293_S21_L001_R1_001.fastq.gz,R-293_S21_L001_R2_001.fastq.gz,4,0,11,2.3,3.5,0,0.2724,0.49,R-293,Sterile,NA,2.45,19.1,6.16666666666667,52.8333333333333,8.5,0.04,4.825,5.73333333333333,0.11,0.25,63.2833333333333,0.533333333333333,14.8333333333333,1.55,0.3,0.07,0.110333333333333,25.6353333333333,88.8,10.8,0.4,Ceanothus velutinus,NA
16S,R-294,R-294_16S,16S amplicons from Snowbrush sample R-294,11,Q294,D,3Burn_W6,3,Snowbrush,SRR27554147,PRJNA1064977,R-294_S33_L001_R1_001.fastq.gz,R-294_S33_L001_R2_001.fastq.gz,6,0,11,1.7,4,13,0.2098,0.4927,R-294,6,3,8.53333333333333,6.2,7.66666666666667,59.3333333333333,4.66666666666667,0.103333333333333,5.67,5.73333333333333,0.053333333333333,0.733333333333333,10.2333333333333,0.766666666666667,23,2.86666666666667,0.4,0.046666666666667,0.156666666666667,21.452,90.8,8.8,0.4,Ceanothus velutinus,NA
16S,R-295,R-295_16S,16S amplicons from Snowbrush sample R-295,11,Q295,ND,0Burn_W2,0,Snowbrush,SRR27554146,PRJNA1064977,R-295_S45_L001_R1_001.fastq.gz,R-295_S45_L001_R2_001.fastq.gz,1,0,19,2.3,6.8,3,0.4209,0.9091,R-295,2,0,1.33333333333333,8.1,7.66666666666667,92.3333333333333,6,0.043333333333333,6.40666666666667,6.16666666666667,0.086666666666667,0.266666666666667,16,0.433333333333333,29,1.83333333333333,0.333333333333333,0.036666666666667,0.166333333333333,26.2156666666667,80.8,18.8,0.4,Ceanothus velutinus,NA
16S,R-296,R-296_16S,16S amplicons from Snowbrush sample R-296,11,Q296,D,1Burn_W4,1,Snowbrush,SRR27554145,PRJNA1064977,R-296_S57_L001_R1_001.fastq.gz,R-296_S57_L001_R2_001.fastq.gz,6,0,19,2,5,0,0.3773,0.5859,R-296,4,1,4.16666666666667,10.4333333333333,8.33333333333333,72.3333333333333,9.66666666666667,0.05,5.97666666666667,6,0.033333333333333,0.333333333333333,12.2,0.733333333333333,20.6666666666667,1.5,0.333333333333333,0.056666666666667,0.103,17.1983333333333,88.8,10.8,0.4,Ceanothus velutinus,NA
16S,R-297,R-297_16S,16S amplicons from Snowbrush sample R-297,11,Q297,D,0Burn_W2,0,Snowbrush,SRR27554144,PRJNA1064977,R-297_S69_L001_R1_001.fastq.gz,R-297_S69_L001_R2_001.fastq.gz,1,0,12,2.5,4.6,3,0.3352,0.6385,R-297,2,0,1.33333333333333,8.1,7.66666666666667,92.3333333333333,6,0.043333333333333,6.40666666666667,6.16666666666667,0.086666666666667,0.266666666666667,16,0.433333333333333,29,1.83333333333333,0.333333333333333,0.036666666666667,0.166333333333333,26.2156666666667,80.8,18.8,0.4,Ceanothus velutinus,NA
16S,R-298,R-298_16S,16S amplicons from Snowbrush sample R-298,11,Q298,ND,1Burn_W4,1,Snowbrush,SRR27554143,PRJNA1064977,R-298_S81_L001_R1_001.fastq.gz,R-298_S81_L001_R2_001.fastq.gz,1,0,19,2.4,4.5,3,0.4813,1.3599,R-298,4,1,4.16666666666667,10.4333333333333,8.33333333333333,72.3333333333333,9.66666666666667,0.05,5.97666666666667,6,0.033333333333333,0.333333333333333,12.2,0.733333333333333,20.6666666666667,1.5,0.333333333333333,0.056666666666667,0.103,17.1983333333333,88.8,10.8,0.4,Ceanothus velutinus,NA
16S,R-299,R-299_16S,16S amplicons from GrandFir sample R-299,11,Q299,D,1Burn_W4,1,GrandFir,SRR27554237,PRJNA1064977,R-299_S131_L001_R1_001.fastq.gz,R-299_S131_L001_R2_001.fastq.gz,1,3,18,0.6,5.5,NA,0.1179,0.1643,R-299,4,1,4.16666666666667,10.4333333333333,8.33333333333333,72.3333333333333,9.66666666666667,0.05,5.97666666666667,6,0.033333333333333,0.333333333333333,12.2,0.733333333333333,20.6666666666667,1.5,0.333333333333333,0.056666666666667,0.103,17.1983333333333,88.8,10.8,0.4,Abies grandis,NA
16S,R-300,R-300_16S,16S amplicons from GrandFir sample R-300,11,Q300,ND,3Burn_W5,3,GrandFir,SRR27554236,PRJNA1064977,R-300_S143_L001_R1_001.fastq.gz,R-300_S143_L001_R2_001.fastq.gz,1,5,20,1.3,5.8,NA,0.1058,0.1709,R-300,5,3,14.5333333333333,7.16666666666667,7,82,4.33333333333333,0.153333333333333,7.07333333333333,6.3,0.113333333333333,0.866666666666667,15.5666666666667,0.833333333333333,23,4.96666666666667,0.566666666666667,0.05,0.239333333333333,17.4663333333333,86.8,10.8,2.4,Abies grandis,NA
16S,R-301,R-301_16S,16S amplicons from GrandFir sample R-301,11,Q301,ND,0Burn_W1,0,GrandFir,SRR27554235,PRJNA1064977,R-301_S155_L001_R1_001.fastq.gz,R-301_S155_L001_R2_001.fastq.gz,1,1,20,1.5,5.3,NA,0.0571,NA,R-301,1,0,1.36666666666667,10.0666666666667,10,108,12,0.036666666666667,7.89333333333333,5.96666666666667,0.096666666666667,0.733333333333333,26.3,0.533333333333333,58,1.66666666666667,0.4,0.043333333333333,0.179,26.3323333333333,80.8,18.8,0.4,Abies grandis,NA
16S,R-302,R-302_16S,16S amplicons from GrandFir sample R-302,11,Q302,D,0Burn_W2,0,GrandFir,SRR27554234,PRJNA1064977,R-302_S167_L001_R1_001.fastq.gz,R-302_S167_L001_R2_001.fastq.gz,1,2,23,1.3,5,NA,0.0978,0.2461,R-302,2,0,1.33333333333333,8.1,7.66666666666667,92.3333333333333,6,0.043333333333333,6.40666666666667,6.16666666666667,0.086666666666667,0.266666666666667,16,0.433333333333333,29,1.83333333333333,0.333333333333333,0.036666666666667,0.166333333333333,26.2156666666667,80.8,18.8,0.4,Abies grandis,NA
16S,R-303,R-303_16S,16S amplicons from Snowbrush sample R-303,11,Q303,ND,3Burn_W6,3,Snowbrush,SRR27554233,PRJNA1064977,R-303_S93_L001_R1_001.fastq.gz,R-303_S93_L001_R2_001.fastq.gz,1,0,22,3.3,5.8,21,0.7935,1.2267,R-303,6,3,8.53333333333333,6.2,7.66666666666667,59.3333333333333,4.66666666666667,0.103333333333333,5.67,5.73333333333333,0.053333333333333,0.733333333333333,10.2333333333333,0.766666666666667,23,2.86666666666667,0.4,0.046666666666667,0.156666666666667,21.452,90.8,8.8,0.4,Ceanothus velutinus,NA
16S,R-304,R-304_16S,16S amplicons from Snowbrush sample R-304,11,Q304,D,1Burn_W3,1,Snowbrush,SRR27554232,PRJNA1064977,R-304_S10_L001_R1_001.fastq.gz,R-304_S10_L001_R2_001.fastq.gz,3,0,2,0.6,2.5,0,0.0233,NA,R-304,3,1,1.7,4.96666666666667,7.33333333333333,61.6666666666667,11.3333333333333,0.07,5.18333333333333,6.36666666666667,0.416666666666667,0.1,10.1,0.666666666666667,15.3333333333333,2.03333333333333,0.3,0.04,0.099,27.1886666666667,82.8,16.8,0.4,Ceanothus velutinus,NA
16S,R-305,R-305_16S,16S amplicons from Snowbrush sample R-305,11,Q305,ND,Sterile,NA,Snowbrush,SRR27554231,PRJNA1064977,R-305_S22_L001_R1_001.fastq.gz,R-305_S22_L001_R2_001.fastq.gz,1,0,13,2.4,4.9,0,0.2331,0.5082,R-305,Sterile,NA,2.45,19.1,6.16666666666667,52.8333333333333,8.5,0.04,4.825,5.73333333333333,0.11,0.25,63.2833333333333,0.533333333333333,14.8333333333333,1.55,0.3,0.07,0.110333333333333,25.6353333333333,88.8,10.8,0.4,Ceanothus velutinus,NA
16S,R-306,R-306_16S,16S amplicons from Snowbrush sample R-306,11,Q306,ND,1Burn_W3,1,Snowbrush,SRR27554230,PRJNA1064977,R-306_S34_L001_R1_001.fastq.gz,R-306_S34_L001_R2_001.fastq.gz,1,0,3,1,3.2,0,0.0524,0.1605,R-306,3,1,1.7,4.96666666666667,7.33333333333333,61.6666666666667,11.3333333333333,0.07,5.18333333333333,6.36666666666667,0.416666666666667,0.1,10.1,0.666666666666667,15.3333333333333,2.03333333333333,0.3,0.04,0.099,27.1886666666667,82.8,16.8,0.4,Ceanothus velutinus,NA
16S,R-307,R-307_16S,16S amplicons from GrandFir sample R-307,11,Q307,ND,0Burn_W2,0,GrandFir,SRR27554229,PRJNA1064977,R-307_S179_L001_R1_001.fastq.gz,R-307_S179_L001_R2_001.fastq.gz,1,4,24,1.5,5.5,NA,0.1164,0.2064,R-307,2,0,1.33333333333333,8.1,7.66666666666667,92.3333333333333,6,0.043333333333333,6.40666666666667,6.16666666666667,0.086666666666667,0.266666666666667,16,0.433333333333333,29,1.83333333333333,0.333333333333333,0.036666666666667,0.166333333333333,26.2156666666667,80.8,18.8,0.4,Abies grandis,NA
16S,R-308,R-308_16S,16S amplicons from GrandFir sample R-308,11,Q308,D,1Burn_W3,1,GrandFir,SRR27554228,PRJNA1064977,R-308_S191_L001_R1_001.fastq.gz,R-308_S191_L001_R2_001.fastq.gz,1,2,8,1.5,4.5,NA,0.0615,0.1466,R-308,3,1,1.7,4.96666666666667,7.33333333333333,61.6666666666667,11.3333333333333,0.07,5.18333333333333,6.36666666666667,0.416666666666667,0.1,10.1,0.666666666666667,15.3333333333333,2.03333333333333,0.3,0.04,0.099,27.1886666666667,82.8,16.8,0.4,Abies grandis,NA
16S,R-337,R-337_16S,16S amplicons from Snowbrush sample R-337,13,Q337,D,Sterile,NA,Snowbrush,SRR27554226,PRJNA1064977,R-337_S46_L001_R1_001.fastq.gz,R-337_S46_L001_R2_001.fastq.gz,1,0,10,2.5,5,0,0.2004,0.5701,R-337,Sterile,NA,2.45,19.1,6.16666666666667,52.8333333333333,8.5,0.04,4.825,5.73333333333333,0.11,0.25,63.2833333333333,0.533333333333333,14.8333333333333,1.55,0.3,0.07,0.110333333333333,25.6353333333333,88.8,10.8,0.4,Ceanothus velutinus,NA
16S,R-338,R-338_16S,16S amplicons from GrandFir sample R-338,13,Q338,ND,3Burn_W5,3,GrandFir,SRR27554225,PRJNA1064977,R-338_S108_L001_R1_001.fastq.gz,R-338_S108_L001_R2_001.fastq.gz,1,3,19,0.7,4.3,NA,0.0649,0.1209,R-338,5,3,14.5333333333333,7.16666666666667,7,82,4.33333333333333,0.153333333333333,7.07333333333333,6.3,0.113333333333333,0.866666666666667,15.5666666666667,0.833333333333333,23,4.96666666666667,0.566666666666667,0.05,0.239333333333333,17.4663333333333,86.8,10.8,2.4,Abies grandis,NA
16S,R-339,R-339_16S,16S amplicons from GrandFir sample R-339,13,Q339,ND,0Burn_W2,0,GrandFir,SRR27554224,PRJNA1064977,R-339_S120_L001_R1_001.fastq.gz,R-339_S120_L001_R2_001.fastq.gz,1,2,18,0.7,3.9,NA,0.0591,0.1191,R-339,2,0,1.33333333333333,8.1,7.66666666666667,92.3333333333333,6,0.043333333333333,6.40666666666667,6.16666666666667,0.086666666666667,0.266666666666667,16,0.433333333333333,29,1.83333333333333,0.333333333333333,0.036666666666667,0.166333333333333,26.2156666666667,80.8,18.8,0.4,Abies grandis,NA
16S,R-340,R-340_16S,16S amplicons from GrandFir sample R-340,13,Q340,ND,0Burn_W1,0,GrandFir,SRR27554223,PRJNA1064977,R-340_S132_L001_R1_001.fastq.gz,R-340_S132_L001_R2_001.fastq.gz,1,3,12,1.8,4.3,NA,0.1439,0.1966,R-340,1,0,1.36666666666667,10.0666666666667,10,108,12,0.036666666666667,7.89333333333333,5.96666666666667,0.096666666666667,0.733333333333333,26.3,0.533333333333333,58,1.66666666666667,0.4,0.043333333333333,0.179,26.3323333333333,80.8,18.8,0.4,Abies grandis,NA
16S,R-341,R-341_16S,16S amplicons from GrandFir sample R-341,13,Q341,D,3Burn_W5,3,GrandFir,SRR27554222,PRJNA1064977,R-341_S144_L001_R1_001.fastq.gz,R-341_S144_L001_R2_001.fastq.gz,1,4,23,1.1,4.5,NA,0.0622,0.1837,R-341,5,3,14.5333333333333,7.16666666666667,7,82,4.33333333333333,0.153333333333333,7.07333333333333,6.3,0.113333333333333,0.866666666666667,15.5666666666667,0.833333333333333,23,4.96666666666667,0.566666666666667,0.05,0.239333333333333,17.4663333333333,86.8,10.8,2.4,Abies grandis,NA
16S,R-342,R-342_16S,16S amplicons from GrandFir sample R-342,13,Q342,D,Sterile,NA,GrandFir,SRR27554221,PRJNA1064977,R-342_S156_L001_R1_001.fastq.gz,R-342_S156_L001_R2_001.fastq.gz,1,2,9,0.3,2.4,NA,0.0214,NA,R-342,Sterile,NA,2.45,19.1,6.16666666666667,52.8333333333333,8.5,0.04,4.825,5.73333333333333,0.11,0.25,63.2833333333333,0.533333333333333,14.8333333333333,1.55,0.3,0.07,0.110333333333333,25.6353333333333,88.8,10.8,0.4,Abies grandis,NA
16S,R-343,R-343_16S,16S amplicons from Snowbrush sample R-343,13,Q343,D,1Burn_W4,1,Snowbrush,SRR27554220,PRJNA1064977,R-343_S58_L001_R1_001.fastq.gz,R-343_S58_L001_R2_001.fastq.gz,2,0,13,2.2,4.2,0,0.2285,0.4425,R-343,4,1,4.16666666666667,10.4333333333333,8.33333333333333,72.3333333333333,9.66666666666667,0.05,5.97666666666667,6,0.033333333333333,0.333333333333333,12.2,0.733333333333333,20.6666666666667,1.5,0.333333333333333,0.056666666666667,0.103,17.1983333333333,88.8,10.8,0.4,Ceanothus velutinus,NA
16S,R-344,R-344_16S,16S amplicons from Snowbrush sample R-344,13,Q344,D,1Burn_W3,1,Snowbrush,SRR27554219,PRJNA1064977,R-344_S70_L001_R1_001.fastq.gz,R-344_S70_L001_R2_001.fastq.gz,2,0,8,2,4.5,NA,0.1231,0.2307,R-344,3,1,1.7,4.96666666666667,7.33333333333333,61.6666666666667,11.3333333333333,0.07,5.18333333333333,6.36666666666667,0.416666666666667,0.1,10.1,0.666666666666667,15.3333333333333,2.03333333333333,0.3,0.04,0.099,27.1886666666667,82.8,16.8,0.4,Ceanothus velutinus,NA
16S,R-345,R-345_16S,16S amplicons from GrandFir sample R-345,13,Q345,D,1Burn_W3,1,GrandFir,SRR27554218,PRJNA1064977,R-345_S168_L001_R1_001.fastq.gz,R-345_S168_L001_R2_001.fastq.gz,1,1,6,0.5,5.5,NA,0.0716,0.1621,R-345,3,1,1.7,4.96666666666667,7.33333333333333,61.6666666666667,11.3333333333333,0.07,5.18333333333333,6.36666666666667,0.416666666666667,0.1,10.1,0.666666666666667,15.3333333333333,2.03333333333333,0.3,0.04,0.099,27.1886666666667,82.8,16.8,0.4,Abies grandis,NA
16S,R-346,R-346_16S,16S amplicons from Snowbrush sample R-346,13,Q346,D,3Burn_W5,3,Snowbrush,SRR27554217,PRJNA1064977,R-346_S82_L001_R1_001.fastq.gz,R-346_S82_L001_R2_001.fastq.gz,5,0,10,2.6,5.2,0,0.2685,0.6795,R-346,5,3,14.5333333333333,7.16666666666667,7,82,4.33333333333333,0.153333333333333,7.07333333333333,6.3,0.113333333333333,0.866666666666667,15.5666666666667,0.833333333333333,23,4.96666666666667,0.566666666666667,0.05,0.239333333333333,17.4663333333333,86.8,10.8,2.4,Ceanothus velutinus,NA
