amplicon,sample_name,block,unique_id,drought,inoculum,fire_freq,species,other_frompreviouscolumn,control,filename_r1,filename_r2,wilting_scale,bud_number,leaf_number,leaf_length,height,nodule_num,shoot_dm,final_root_dm,seqtab_rows
ITS2,F-R-001,1,Q001,D,1Burn_W4,1,GrandFir,NA,NA,F-R-001_S315_L001_R1_001.fastq.gz,F-R-001_S315_L001_R2_001.fastq.gz,3,11,72,3.2,9,NA,0.52090000000000003,0.92910000000000004,F-R-001
ITS2,F-R-002,1,Q002,D,1Burn_W3,1,Snowbrush,NA,NA,F-R-002_S217_L001_R1_001.fastq.gz,F-R-002_S217_L001_R2_001.fastq.gz,6,0,16,2.8,4.0999999999999996,0,0.22700000000000001,0.35470000000000002,F-R-002
ITS2,F-R-003,1,Q003,D,Sterile,NA,Snowbrush,NA,NA,F-R-003_S229_L001_R1_001.fastq.gz,F-R-003_S229_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,0,0.5242,0.90349999999999997,F-R-003
ITS2,F-R-004,1,Q004,ND,0Burn_W2,0,GrandFir,NA,NA,F-R-004_S327_L001_R1_001.fastq.gz,F-R-004_S327_L001_R2_001.fastq.gz,1,10,45,1.9,5.2,NA,0.21190000000000001,0.3397,F-R-004
ITS2,F-R-005,1,Q005,ND,3Burn_W6,3,GrandFir,NA,NA,F-R-005_S339_L001_R1_001.fastq.gz,F-R-005_S339_L001_R2_001.fastq.gz,1,6,63,2.4,5.2,NA,0.28160000000000002,0.46789999999999998,F-R-005
ITS2,F-R-006,1,Q006,D,Sterile,NA,GrandFir,NA,NA,F-R-006_S351_L001_R1_001.fastq.gz,F-R-006_S351_L001_R2_001.fastq.gz,1,6,47,2.6,6.4,NA,0.18260000000000001,0.18859999999999999,F-R-006
ITS2,F-R-007,1,Q007,ND,1Burn_W4,1,Snowbrush,NA,NA,F-R-007_S241_L001_R1_001.fastq.gz,F-R-007_S241_L001_R2_001.fastq.gz,1,0,33,3.4,5.0999999999999996,1,0.9163,1.8877999999999999,F-R-007
ITS2,F-R-008,1,Q008,ND,0Burn_W2,0,Snowbrush,NA,NA,F-R-008_S253_L001_R1_001.fastq.gz,F-R-008_S253_L001_R2_001.fastq.gz,1,0,30,2.6,4.2,0,0.50860000000000005,0.78749999999999998,F-R-008
ITS2,F-R-010,1,Q010,D,3Burn_W6,3,GrandFir,NA,NA,F-R-010_S363_L001_R1_001.fastq.gz,F-R-010_S363_L001_R2_001.fastq.gz,2,8,118,2.4,7.1,NA,0.55600000000000005,0.58020000000000005,F-R-010
ITS2,F-R-011,1,Q011,ND,3Burn_W5,3,GrandFir,NA,NA,F-R-011_S375_L001_R1_001.fastq.gz,F-R-011_S375_L001_R2_001.fastq.gz,1,12,55,2.9,7.4,NA,0.2878,0.6321,F-R-011
ITS2,F-R-012,1,Q012,D,0Burn_W2,0,Snowbrush,NA,NA,F-R-012_S265_L001_R1_001.fastq.gz,F-R-012_S265_L001_R2_001.fastq.gz,3,0,21,2.6,6.1,0,0.51259999999999994,0.82669999999999999,F-R-012
ITS2,F-R-013,1,Q013,ND,1Burn_W4,1,GrandFir,NA,NA,F-R-013_S292_L001_R1_001.fastq.gz,F-R-013_S292_L001_R2_001.fastq.gz,1,11,96,2.8,8,NA,0.69410000000000005,1.0553999999999999,F-R-013
ITS2,F-R-014,1,Q014,ND,3Burn_W5,3,Snowbrush,NA,NA,F-R-014_S277_L001_R1_001.fastq.gz,F-R-014_S277_L001_R2_001.fastq.gz,1,0,29,3.9,6.7,5,0.80059999999999998,1.5315000000000001,F-R-014
ITS2,F-R-015,1,Q015,ND,Sterile,NA,GrandFir,NA,NA,F-R-015_S304_L001_R1_001.fastq.gz,F-R-015_S304_L001_R2_001.fastq.gz,1,4,37,2.5,5.2,NA,0.154,0.2218,F-R-015
ITS2,F-R-016,1,Q016,ND,Sterile,NA,Snowbrush,NA,NA,F-R-016_S194_L001_R1_001.fastq.gz,F-R-016_S194_L001_R2_001.fastq.gz,1,0,37,2.8,6.5,0,0.72860000000000003,0.65720000000000001,F-R-016
ITS2,F-R-017,1,Q017,ND,3Burn_W6,3,Snowbrush,NA,NA,F-R-017_S206_L001_R1_001.fastq.gz,F-R-017_S206_L001_R2_001.fastq.gz,1,0,26,2.7,5.8,64,0.67069999999999996,0.64190000000000003,F-R-017
