amplicon,sample_name,block,unique_id,drought,inoculum,fire_freq,species,other_frompreviouscolumn,control,filename_r1,filename_r2,wilting_scale,bud_number,leaf_number,leaf_length,height,nodule_num,shoot_dm,final_root_dm,seqtab_rows,inoculum_site,inoculum_burn_freq,mean_NO3,mean_NH4,mean_P,mean_K,mean_SO4_S,mean_B,mean_OM,mean_pH,mean_EC,mean_Zn,mean_Mn,mean_Cu,mean_Fe,mean_Ca,mean_Mg,mean_Na,mean_TKN,mean_C_N_ratio,mean_Sand,mean_Silt,mean_Clay
ITS2,F-R-206,8,Q206,ND,Sterile,NA,Snowbrush,NA,NA,F-R-206_S211_L001_R1_001.fastq.gz,F-R-206_S211_L001_R2_001.fastq.gz,1,0,16,3.9,5.8,0,0.7199,1.0211,F-R-206,Sterile,NA,2.45,19.099999999999998,6.166666666666667,52.833333333333336,8.5,0.04,4.825,5.733333333333333,0.11,0.25,63.28333333333333,0.5333333333333333,14.833333333333334,1.55,0.30000000000000004,0.06999999999999999,0.11033333333333334,25.63533333333333,88.8,10.8,0.4
ITS2,F-R-207,8,Q207,D,3Burn_W6,3,Snowbrush,NA,NA,F-R-207_S223_L001_R1_001.fastq.gz,F-R-207_S223_L001_R2_001.fastq.gz,1,0,12,1.6,4.4,11,0.331,0.678,F-R-207,6,3,8.533333333333333,6.2,7.666666666666667,59.333333333333336,4.666666666666667,0.10333333333333333,5.67,5.733333333333333,0.05333333333333334,0.7333333333333334,10.233333333333334,0.7666666666666667,23,2.8666666666666667,0.4,0.04666666666666667,0.15666666666666668,21.451999999999998,90.8,8.8,0.4
ITS2,F-R-208,8,Q208,ND,3Burn_W5,3,Snowbrush,NA,NA,F-R-208_S235_L001_R1_001.fastq.gz,F-R-208_S235_L001_R2_001.fastq.gz,1,0,16,2.5,4.4,0,0.6729,1.4045,F-R-208,5,3,14.533333333333333,7.166666666666667,7,82,4.333333333333333,0.15333333333333335,7.073333333333333,6.3,0.11333333333333333,0.8666666666666667,15.566666666666666,0.8333333333333334,23,4.966666666666667,0.5666666666666667,0.05,0.23933333333333334,17.466333333333335,86.8,10.8,2.4
ITS2,F-R-209,8,Q209,ND,1Burn_W4,1,Snowbrush,NA,NA,F-R-209_S247_L001_R1_001.fastq.gz,F-R-209_S247_L001_R2_001.fastq.gz,1,0,19,2.4,4,0,0.5629,0.9969,F-R-209,4,1,4.166666666666667,10.433333333333334,8.333333333333334,72.33333333333333,9.666666666666666,0.05,5.976666666666667,6,0.03333333333333333,0.3333333333333333,12.2,0.7333333333333333,20.666666666666668,1.5,0.3333333333333333,0.05666666666666667,0.103,17.198333333333334,88.8,10.8,0.4
ITS2,F-R-210,8,Q210,D,0Burn_W1,0,Snowbrush,NA,NA,F-R-210_S259_L001_R1_001.fastq.gz,F-R-210_S259_L001_R2_001.fastq.gz,6,0,11,2,5,1,0.4122,0.4951,F-R-210,1,0,1.3666666666666667,10.066666666666666,10,108,12,0.03666666666666667,7.8933333333333335,5.966666666666667,0.09666666666666666,0.7333333333333334,26.299999999999997,0.5333333333333333,58,1.6666666666666667,0.39999999999999997,0.043333333333333335,0.179,26.332333333333334,80.8,18.8,0.4
ITS2,F-R-211,8,Q211,ND,1Burn_W3,1,Snowbrush,NA,NA,F-R-211_S271_L001_R1_001.fastq.gz,F-R-211_S271_L001_R2_001.fastq.gz,1,0,17,3,5,0,0.2938,0.5697,F-R-211,3,1,1.7,4.966666666666667,7.333333333333333,61.666666666666664,11.333333333333334,0.07,5.183333333333334,6.366666666666667,0.4166666666666667,0.1,10.1,0.6666666666666666,15.333333333333334,2.033333333333333,0.3,0.04,0.099,27.188666666666666,82.8,16.8,0.4
ITS2,F-R-212,8,Q212,D,3Burn_W6,3,GrandFir,NA,NA,F-R-212_S309_L001_R1_001.fastq.gz,F-R-212_S309_L001_R2_001.fastq.gz,1,6,52,2.1,5.9,NA,0.1664,0.2558,F-R-212,6,3,8.533333333333333,6.2,7.666666666666667,59.333333333333336,4.666666666666667,0.10333333333333333,5.67,5.733333333333333,0.05333333333333334,0.7333333333333334,10.233333333333334,0.7666666666666667,23,2.8666666666666667,0.4,0.04666666666666667,0.15666666666666668,21.451999999999998,90.8,8.8,0.4
ITS2,F-R-213,8,Q213,ND,3Burn_W5,3,GrandFir,NA,NA,F-R-213_S321_L001_R1_001.fastq.gz,F-R-213_S321_L001_R2_001.fastq.gz,1,3,23,1.5,4,NA,0.0811,0.1889,F-R-213,5,3,14.533333333333333,7.166666666666667,7,82,4.333333333333333,0.15333333333333335,7.073333333333333,6.3,0.11333333333333333,0.8666666666666667,15.566666666666666,0.8333333333333334,23,4.966666666666667,0.5666666666666667,0.05,0.23933333333333334,17.466333333333335,86.8,10.8,2.4
ITS2,F-R-214,8,Q214,D,1Burn_W4,1,Snowbrush,NA,NA,F-R-214_S283_L001_R1_001.fastq.gz,F-R-214_S283_L001_R2_001.fastq.gz,6,0,19,2.2,4.9,0,0.3838,0.7453,F-R-214,4,1,4.166666666666667,10.433333333333334,8.333333333333334,72.33333333333333,9.666666666666666,0.05,5.976666666666667,6,0.03333333333333333,0.3333333333333333,12.2,0.7333333333333333,20.666666666666668,1.5,0.3333333333333333,0.05666666666666667,0.103,17.198333333333334,88.8,10.8,0.4
ITS2,F-R-215,8,Q215,D,0Burn_W2,0,GrandFir,NA,NA,F-R-215_S333_L001_R1_001.fastq.gz,F-R-215_S333_L001_R2_001.fastq.gz,1,6,93,1.6,5.4,NA,0.2693,0.3767,F-R-215,2,0,1.3333333333333333,8.1,7.666666666666667,92.33333333333333,6,0.043333333333333335,6.406666666666667,6.166666666666667,0.08666666666666667,0.26666666666666666,16,0.43333333333333335,29,1.8333333333333333,0.3333333333333333,0.03666666666666667,0.16633333333333333,26.215666666666667,80.8,18.8,0.4
