amplicon,sample_name,block,unique_id,drought,inoculum,fire_freq,species,other_frompreviouscolumn,control,filename_r1,filename_r2,wilting_scale,bud_number,leaf_number,leaf_length,height,nodule_num,shoot_dm,final_root_dm,seqtab_rows
16S,R-062,3,Q062,ND,3Burn_W6,3,Snowbrush,NA,NA,R-062_S27_L001_R1_001.fastq.gz,R-062_S27_L001_R2_001.fastq.gz,1,0,32,4.2,6.3,198,1.8504,2.2624,R-062
16S,R-063,3,Q063,ND,3Burn_W6,3,GrandFir,NA,NA,R-063_S149_L001_R1_001.fastq.gz,R-063_S149_L001_R2_001.fastq.gz,1,5,46,2.1,4.0999999999999996,NA,0.16220000000000001,0.39429999999999998,R-063
16S,R-064,3,Q064,D,0Burn_W2,0,GrandFir,NA,NA,R-064_S161_L001_R1_001.fastq.gz,R-064_S161_L001_R2_001.fastq.gz,2,5,55,2.2000000000000002,6.5,NA,0.27039999999999997,0.64439999999999997,R-064
16S,R-065,3,Q065,ND,Sterile,NA,Snowbrush,NA,NA,R-065_S39_L001_R1_001.fastq.gz,R-065_S39_L001_R2_001.fastq.gz,1,0,30,3,5.4,0,0.53459999999999996,0.67249999999999999,R-065
16S,R-066,3,Q066,ND,3Burn_W5,3,GrandFir,NA,NA,R-066_S173_L001_R1_001.fastq.gz,R-066_S173_L001_R2_001.fastq.gz,1,7,45,2.2000000000000002,7.4,NA,0.30420000000000003,0.75419999999999998,R-066
16S,R-067,3,Q067,ND,0Burn_W2,0,Snowbrush,NA,NA,R-067_S51_L001_R1_001.fastq.gz,R-067_S51_L001_R2_001.fastq.gz,1,0,30,3,5.8,0,0.61670000000000003,1.5528,R-067
16S,R-068,3,Q068,D,3Burn_W6,3,Snowbrush,NA,NA,R-068_S63_L001_R1_001.fastq.gz,R-068_S63_L001_R2_001.fastq.gz,6,0,16,2.1,5.4,29,0.40400000000000003,0.63500000000000001,R-068
16S,R-069,3,Q069,D,1Burn_W4,1,Snowbrush,NA,NA,R-069_S75_L001_R1_001.fastq.gz,R-069_S75_L001_R2_001.fastq.gz,6,0,25,2,5.6,0,0.30399999999999999,0.59930000000000005,R-069
16S,R-070,3,Q070,ND,1Burn_W3,1,Snowbrush,NA,NA,R-070_S87_L001_R1_001.fastq.gz,R-070_S87_L001_R2_001.fastq.gz,1,0,28,2.8,5,0,0.56469999999999998,0.85099999999999998,R-070
16S,R-071,3,Q071,ND,0Burn_W1,0,GrandFir,NA,NA,R-071_S185_L001_R1_001.fastq.gz,R-071_S185_L001_R2_001.fastq.gz,1,6,34,1.9,5.6,NA,0.15640000000000001,0.49840000000000001,R-071
16S,R-072,3,Q072,D,3Burn_W5,3,Snowbrush,NA,NA,R-072_S4_L001_R1_001.fastq.gz,R-072_S4_L001_R2_001.fastq.gz,6,0,23,2.8,4,8,0.64629999999999999,1.1984999999999999,R-072
16S,R-073,3,Q073,D,0Burn_W1,0,GrandFir,NA,NA,R-073_S102_L001_R1_001.fastq.gz,R-073_S102_L001_R2_001.fastq.gz,1,6,34,1.9,5.6,NA,0.115,0.28939999999999999,R-073
16S,R-074,3,Q074,D,Sterile,NA,GrandFir,NA,NA,R-074_S114_L001_R1_001.fastq.gz,R-074_S114_L001_R2_001.fastq.gz,4,1,9,0.9,4.5,NA,9.8599999999999993E-2,0.17949999999999999,R-074
16S,R-075,3,Q075,D,1Burn_W4,1,GrandFir,NA,NA,R-075_S126_L001_R1_001.fastq.gz,R-075_S126_L001_R2_001.fastq.gz,1,5,63,2.7,7,NA,0.33229999999999998,0.66690000000000005,R-075
16S,R-076,3,Q076,D,3Burn_W5,3,GrandFir,NA,NA,R-076_S138_L001_R1_001.fastq.gz,R-076_S138_L001_R2_001.fastq.gz,1,3,35,2.1,5.7,NA,0.14510000000000001,0.39650000000000002,R-076
16S,R-077,3,Q077,D,1Burn_W3,1,GrandFir,NA,NA,R-077_S150_L001_R1_001.fastq.gz,R-077_S150_L001_R2_001.fastq.gz,1,2,24,1.1000000000000001,5.4,NA,7.0599999999999996E-2,0.14360000000000001,R-077
16S,R-078,3,Q078,ND,0Burn_W1,0,Snowbrush,NA,NA,R-078_S16_L001_R1_001.fastq.gz,R-078_S16_L001_R2_001.fastq.gz,1,0,29,2.6,6.1,1,0.45989999999999998,0.68159999999999998,R-078
16S,R-079,3,Q079,D,Sterile,NA,Snowbrush,NA,NA,R-079_S28_L001_R1_001.fastq.gz,R-079_S28_L001_R2_001.fastq.gz,6,0,14,3.1,4.8,0,0.28589999999999999,0.61660000000000004,R-079
16S,R-080,3,Q080,D,1Burn_W3,1,Snowbrush,NA,NA,R-080_S40_L001_R1_001.fastq.gz,R-080_S40_L001_R2_001.fastq.gz,1,0,6,1.4,3.6,0,8.4599999999999995E-2,0.16650000000000001,R-080
16S,R-081,3,Q081,D,0Burn_W2,0,Snowbrush,NA,NA,R-081_S52_L001_R1_001.fastq.gz,R-081_S52_L001_R2_001.fastq.gz,6,0,16,2.1,4.4000000000000004,0,0.29020000000000001,0.7278,R-081
16S,R-082,3,Q082,ND,1Burn_W3,1,GrandFir,NA,NA,R-082_S162_L001_R1_001.fastq.gz,R-082_S162_L001_R2_001.fastq.gz,1,3,20,0.9,4.3,NA,4.8099999999999997E-2,6.7299999999999999E-2,R-082
16S,R-083,3,Q083,ND,3Burn_W5,3,Snowbrush,NA,NA,R-083_S64_L001_R1_001.fastq.gz,R-083_S64_L001_R2_001.fastq.gz,1,0,27,2.7,6.1,46,0.64200000000000002,1.012,R-083
16S,R-084,3,Q084,D,0Burn_W1,0,Snowbrush,NA,NA,R-084_S76_L001_R1_001.fastq.gz,R-084_S76_L001_R2_001.fastq.gz,6,0,18,2,4.4000000000000004,1,0.19620000000000001,0.33179999999999998,R-084
16S,R-141,6,Q141,D,0Burn_W2,0,Snowbrush,NA,NA,R-141_S88_L001_R1_001.fastq.gz,R-141_S88_L001_R2_001.fastq.gz,6,0,24,2.6,4.7,2,0.53400000000000003,0.79400000000000004,R-141
16S,R-142,6,Q142,D,Sterile,NA,Snowbrush,NA,NA,R-142_S5_L001_R1_001.fastq.gz,R-142_S5_L001_R2_001.fastq.gz,6,0,9,2,5,0,0.1799,0.20699999999999999,R-142
16S,R-143,6,Q143,D,3Burn_W6,3,GrandFir,NA,NA,R-143_S174_L001_R1_001.fastq.gz,R-143_S174_L001_R2_001.fastq.gz,1,7,25,2.1,5.3,NA,0.1613,0.27429999999999999,R-143
16S,R-144,6,Q144,ND,Sterile,NA,GrandFir,NA,NA,R-144_S186_L001_R1_001.fastq.gz,R-144_S186_L001_R2_001.fastq.gz,1,1,24,1.1000000000000001,4.4000000000000004,NA,7.7200000000000005E-2,0.1661,R-144
16S,R-145,6,Q145,D,0Burn_W1,0,GrandFir,NA,NA,R-145_S103_L001_R1_001.fastq.gz,R-145_S103_L001_R2_001.fastq.gz,1,3,35,2.1,5.8,NA,0.1072,0.1789,R-145
16S,R-146,6,Q146,D,3Burn_W5,3,Snowbrush,NA,NA,R-146_S17_L001_R1_001.fastq.gz,R-146_S17_L001_R2_001.fastq.gz,6,0,17,1.8,4,7,0.2205,0.48320000000000002,R-146
16S,R-147,6,Q147,ND,1Burn_W4,1,Snowbrush,NA,NA,R-147_S29_L001_R1_001.fastq.gz,R-147_S29_L001_R2_001.fastq.gz,1,0,33,3,8.1999999999999993,0,1.149,3.2471000000000001,R-147
16S,R-148,6,Q148,ND,1Burn_W4,1,GrandFir,NA,NA,R-148_S115_L001_R1_001.fastq.gz,R-148_S115_L001_R2_001.fastq.gz,1,4,87,2.4,7.8,NA,0.32400000000000001,0.81010000000000004,R-148
16S,R-149,6,Q149,ND,3Burn_W5,3,GrandFir,NA,NA,R-149_S127_L001_R1_001.fastq.gz,R-149_S127_L001_R2_001.fastq.gz,1,8,61,1.7,6.5,NA,0.28489999999999999,0.34960000000000002,R-149
16S,R-150,6,Q150,ND,3Burn_W6,3,Snowbrush,NA,NA,R-150_S41_L001_R1_001.fastq.gz,R-150_S41_L001_R2_001.fastq.gz,1,0,16,1.5,4.5,17,0.21609999999999999,0.2944,R-150
16S,R-151,6,Q151,ND,3Burn_W6,3,GrandFir,NA,NA,R-151_S139_L001_R1_001.fastq.gz,R-151_S139_L001_R2_001.fastq.gz,1,4,60,1.2,5.7,NA,0.1898,0.2291,R-151
16S,R-152,6,Q152,D,Sterile,NA,GrandFir,NA,NA,R-152_S151_L001_R1_001.fastq.gz,R-152_S151_L001_R2_001.fastq.gz,1,4,31,2.2000000000000002,5.5,NA,0.13170000000000001,0.18390000000000001,R-152
16S,R-153,6,Q153,ND,0Burn_W1,0,Snowbrush,NA,NA,R-153_S53_L001_R1_001.fastq.gz,R-153_S53_L001_R2_001.fastq.gz,1,0,17,3.1,5,2,0.4904,1.4133,R-153
16S,R-154,6,Q154,D,1Burn_W3,1,GrandFir,NA,NA,R-154_S163_L001_R1_001.fastq.gz,R-154_S163_L001_R2_001.fastq.gz,2,2,14,0.7,4.7,NA,5.2900000000000003E-2,0.1469,R-154
16S,R-155,6,Q155,D,3Burn_W6,3,Snowbrush,NA,NA,R-155_S65_L001_R1_001.fastq.gz,R-155_S65_L001_R2_001.fastq.gz,5,0,17,3.4,5.2,9,0.47649999999999998,0.52829999999999999,R-155
16S,R-156,6,Q156,ND,0Burn_W2,0,GrandFir,NA,NA,R-156_S175_L001_R1_001.fastq.gz,R-156_S175_L001_R2_001.fastq.gz,1,4,29,1.8,5.9,NA,0.1,0.22470000000000001,R-156
16S,R-157,6,Q157,ND,0Burn_W2,0,Snowbrush,NA,NA,R-157_S77_L001_R1_001.fastq.gz,R-157_S77_L001_R2_001.fastq.gz,1,0,34,2.6,6,6,0.8851,1.2181,R-157
16S,R-158,6,Q158,D,1Burn_W3,1,Snowbrush,NA,NA,R-158_S89_L001_R1_001.fastq.gz,R-158_S89_L001_R2_001.fastq.gz,1,0,4,1.1000000000000001,3.9,0,5.11E-2,NA,R-158
16S,R-159,6,Q159,ND,0Burn_W1,0,GrandFir,NA,NA,R-159_S187_L001_R1_001.fastq.gz,R-159_S187_L001_R2_001.fastq.gz,1,4,23,1.7,5.8,NA,0.11119999999999999,0.30409999999999998,R-159
16S,R-160,6,Q160,D,3Burn_W5,3,GrandFir,NA,NA,R-160_S104_L001_R1_001.fastq.gz,R-160_S104_L001_R2_001.fastq.gz,2,10,38,2.2000000000000002,7.2,NA,0.26939999999999997,0.26169999999999999,R-160
16S,R-161,6,Q161,ND,1Burn_W3,1,GrandFir,NA,NA,R-161_S116_L001_R1_001.fastq.gz,R-161_S116_L001_R2_001.fastq.gz,1,2,14,1.4,4.5,NA,4.5499999999999999E-2,0.10539999999999999,R-161
16S,R-162,6,Q162,ND,3Burn_W5,3,Snowbrush,NA,NA,R-162_S6_L001_R1_001.fastq.gz,R-162_S6_L001_R2_001.fastq.gz,1,0,27,3.2,9.4,35,1.1375999999999999,0.87760000000000005,R-162
16S,R-163,6,Q163,D,0Burn_W1,0,Snowbrush,NA,NA,R-163_S18_L001_R1_001.fastq.gz,R-163_S18_L001_R2_001.fastq.gz,6,0,11,2.2000000000000002,5.4,0,0.19389999999999999,0.31309999999999999,R-163
